                                                  Ordered by
                    Structure         TotalE     NoInterHelVDW     NoAllVDW        InterHB
      120_120_330_0_90_180_60         3747.7          113.7          420.3          -59.4
  180_180_330_180_150_180_120         2910.1          113.7          407.3          -61.1
       180_120_330_0_30_150_0       414635.5          113.8          416.5          -67.0
     210_210_0_210_240_180_90       108814.3          113.8          448.0          -56.5
     120_120_330_0_90_240_180         3631.7          113.8          410.5          -72.6
  120_120_330_180_150_150_330         4915.5          113.8          378.7          -99.6
     180_120_330_0_90_150_150        10294.7          113.9          434.2          -52.2
    120_120_330_0_180_330_180         4568.4          113.9          430.1          -70.0
     150_150_330_0_90_210_330         2017.9          113.9          414.0          -71.4
      90_150_330_0_60_270_330         3983.6          114.0          442.5          -87.0
   150_150_240_150_150_120_90        61294.4          114.0          429.9          -50.7
  120_120_330_270_150_180_120         4110.3          114.0          421.3          -63.3
      180_120_330_0_60_120_90         3054.6          114.0          435.7          -64.9
      180_150_330_0_90_240_90         1174.8          114.1          431.8          -76.7
   180_120_330_90_150_180_330        13728.3          114.1          399.0          -71.9
     120_120_330_0_180_300_60         4644.8          114.1          433.8          -76.7
  120_120_330_240_150_180_210         4367.7          114.1          379.3          -86.2
   150_150_330_240_90_300_210         1770.5          114.2          424.5          -75.6
     120_120_330_0_120_300_60         5543.1          114.2          398.3          -78.0
   180_330_240_150_150_180_90       141457.2          114.2          415.9          -56.7
       120_120_330_0_90_330_0         3580.3          114.2          429.2          -64.2
      90_150_0_300_120_300_90       273719.9          114.2          437.3          -67.1
      180_120_330_0_60_120_30         3087.9          114.2          426.9          -73.2
      120_120_330_0_60_330_30         5816.5          114.3          421.9          -72.3
    120_120_330_270_150_180_0         4082.5          114.3          421.4          -65.7
    120_120_330_240_60_120_30         4176.2          114.3          414.0          -89.5
    150_150_330_0_180_150_150         2372.4          114.4          416.1          -74.1
    120_120_330_0_180_240_330         4568.9          114.4          435.9          -74.9
      150_150_330_0_60_270_90         3318.8          114.4          422.5          -70.2
  150_150_240_150_150_180_330        60859.9          114.4          430.5          -45.9
  120_120_330_180_150_330_330         4793.2          114.4          405.9          -87.3
     120_210_0_210_240_180_90       108889.6          114.5          439.2          -62.3
      120_120_330_0_60_240_90         6488.3          114.5          417.5          -71.8
       90_180_330_0_90_240_90          915.3          114.5          423.3          -73.4
     120_120_330_0_180_300_90         4667.5          114.6          438.2          -84.3
   90_150_330_240_150_180_330         2402.5          114.6          424.6          -86.6
     120_120_330_0_120_300_90         5565.7          114.6          402.7          -85.6
       180_120_330_0_90_300_0          869.0          114.6          438.3          -66.5
      90_150_330_90_90_210_60        23439.6          114.6          404.8          -79.5
     180_120_330_0_60_150_330         3182.6          114.7          410.6          -69.7
      120_120_330_0_60_150_30         5859.5          114.7          414.3          -75.9
      90_150_330_0_60_330_330         4020.8          114.8          445.9          -89.8
     150_240_30_330_90_180_90      1893960.4          114.8          454.0          -41.1
    120_120_330_0_150_180_210         3855.3          114.8          381.4          -79.0
     180_120_330_0_60_120_180         3783.3          114.9          431.6          -68.4
    180_120_330_0_180_150_240         3083.5          114.9          416.4          -68.5
     180_120_330_0_30_150_330       414707.9          114.9          414.1          -69.3
