                                    Ordered by
                    Structure         TotalE     NoInterHelVDW     NoAllVDW        InterHB
       120_240_0_240_60_60_30          430.6          328.6          519.7          -25.8
     150_210_0_240_60_120_330          430.8          213.0          492.2          -44.1
      210_30_60_330_60_330_30          430.9          249.9          538.6          -34.7
     180_120_60_330_90_150_60          431.0          232.2          518.4          -22.6
      300_30_60_330_60_270_90          431.2          286.8          557.7          -13.3
    180_120_60_330_60_330_330          431.2          173.7          473.5          -50.3
      210_240_0_240_60_120_60          431.4          207.8          496.7          -30.0
    150_210_0_240_330_180_150          431.5          162.8          452.8          -49.5
     180_240_0_240_150_150_30          431.6          281.7          500.9          -31.2
       210_210_0_240_60_270_0          431.6          195.0          506.3          -30.1
    210_240_0_240_150_330_330          431.6          219.5          505.8          -19.5
     150_210_0_240_330_300_30          431.8          165.7          467.0          -47.3
      210_210_0_240_60_90_330          431.8          215.7          512.6          -31.0
     180_120_60_330_90_330_90          432.1          236.6          515.7          -36.2
    120_240_0_240_150_270_210          432.4          343.5          525.5          -29.6
       180_240_0_270_60_90_60          432.6          339.3          543.7          -21.6
       120_240_0_240_60_90_60          432.6          309.1          533.4          -22.1
      210_210_0_240_60_330_90          432.6          168.5          484.3          -44.9
      60_240_0_240_330_270_90          432.8          253.7          475.5          -31.3
       210_210_0_240_60_60_30          432.8          196.5          500.0          -35.4
    180_240_0_240_150_210_300          433.0          269.8          505.2          -21.6
      180_240_0_270_60_330_30          433.1          350.2          533.0          -26.5
     180_240_0_240_150_60_330          433.2          266.1          508.9          -19.9
      210_210_0_270_60_270_90          433.3          243.4          492.7          -43.0
      210_30_60_330_60_120_60          433.4          261.0          521.6          -31.5
     210_210_0_270_60_330_330          433.5          246.3          496.3          -41.2
    180_240_0_240_330_330_270          433.6          248.8          527.6          -27.4
     150_210_0_240_150_330_30          433.7          202.5          480.2          -33.3
      180_120_60_330_60_270_0          433.7          210.7          517.3          -26.6
     180_240_0_240_150_300_60          433.8          235.2          510.6          -25.2
      90_240_0_240_150_180_90          433.8          185.2          426.9          -40.1
     120_240_0_240_330_180_30          434.0          294.2          482.3          -46.6
     150_210_0_240_60_150_150          434.3          163.2          455.9          -33.5
     180_120_60_330_60_330_60          434.4          187.9          487.2          -39.9
     180_120_60_330_90_240_60          434.4          205.2          502.3          -33.7
      60_240_0_240_330_300_90          434.5          247.2          471.3          -38.2
      120_240_0_270_60_90_240          434.5          369.2          542.5          -32.9
     210_210_0_270_60_270_240          434.6          293.1          543.6          -29.0
    180_240_240_240_60_270_90          434.7          301.2          518.4          -35.3
     150_210_0_270_60_270_150          435.1          276.4          511.5          -31.9
    150_210_0_240_150_270_330          435.1          237.2          483.0          -46.6
