                                                                  Ordered by
                    Structure         TotalE     NoInterHelVDW     NoAllVDW        InterHB
   120_120_180_240_180_210_60        36460.1          298.0          387.7          -78.2
    180_120_330_0_120_180_240        32647.2         1136.1          387.7          -62.5
  150_180_330_180_150_210_210         2379.8          208.5          387.8          -76.0
     150_330_0_240_150_180_90         6125.5          334.1          387.8          -49.5
   180_120_330_180_120_180_90         4044.4          164.3          387.8          -75.0
  150_330_330_180_300_150_150      8761207.1          665.5          387.8          -73.7
     90_330_330_180_90_210_60         7759.7          633.7          387.9          -60.7
   120_180_300_150_120_120_30         4631.4          338.8          387.9          -74.9
   150_150_270_210_300_240_90        14749.0          492.8          387.9          -51.3
  120_180_300_150_120_210_210         4845.9          433.6          387.9          -83.0
   120_180_330_240_120_180_30         3777.8          537.0          388.0          -72.7
  150_330_240_150_150_210_210       142919.5          393.4          388.0          -53.6
   120_150_270_210_120_180_90        19419.6          484.6          388.0          -45.5
  150_330_330_180_120_150_150         6854.2          617.2          388.0          -71.6
   120_120_330_240_150_180_90         4136.0           88.7          388.0          -81.6
  120_180_330_180_150_180_240        32252.2         1293.6          388.0          -81.9
   120_180_330_180_150_150_30         1978.5          323.3          388.0          -88.4
   150_180_300_150_120_180_30         4834.1          209.2          388.0          -61.3
     90_120_330_0_270_210_180        23209.8          255.6          388.0          -80.3
  150_330_330_180_150_180_120         4949.7          587.5          388.0          -67.4
    90_120_330_180_120_270_60         4291.7          181.3          388.0          -86.9
  150_150_330_120_120_180_210        27555.2          259.1          388.1          -73.1
  150_150_330_240_150_180_210         1971.6          119.5          388.1          -80.9
      150_150_0_60_120_180_90       281215.7          442.1          388.1          -57.7
   120_150_330_120_150_180_30        25829.6          246.2          388.1          -74.5
     90_0_300_150_150_180_150       215225.3          234.3          388.1          -66.8
